IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,UTC_OFFSET
OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,USA,66.88468,-162.59855,-8.0
PAH,Barkley Regional Airport,Paducah,KY,USA,37.06083,-88.77375,-5.0
PBG,Plattsburgh International Airport,Plattsburgh,NY,USA,44.650833,-73.468056,-4.0
PBI,Palm Beach International Airport,West Palm Beach,FL,USA,26.68316,-80.09559,-4.0
PDX,Portland International Airport,Portland,OR,USA,45.58872,-122.5975,-7.0
PHF,Newport News/Williamsburg International Airport,Newport News,VA,USA,37.1319,-76.49299,-4.0
PHL,Philadelphia International Airport,Philadelphia,PA,USA,39.87195,-75.24114,-4.0
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806,-7.0
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,USA,40.66424,-89.69331,-5.0
PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,USA,31.46715,-89.33706,-5.0
PIH,Pocatello Regional Airport,Pocatello,ID,USA,42.91131,-112.59586,-6.0
PIT,Pittsburgh International Airport,Pittsburgh,PA,USA,40.49147,-80.23287,-4.0
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,USA,45.57093,-84.79672,-4.0
PNS,Pensacola International Airport (Pensacola Gulf Coast Regional Airport),Pensacola,FL,USA,30.47331,-87.18744,-5.0
PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,USA,14.33102,-170.71053,-11.0
PSC,Tri-Cities Airport,Pasco,WA,USA,46.26468,-119.11903,-7.0
PSE,Mercedita Airport,Ponce,PR,USA,18.0083,-66.56301,-4.0
PSG,Petersburg James A. Johnson Airport,Petersburg,AK,USA,56.80165,-132.94528,-8.0
PSP,Palm Springs International Airport,Palm Springs,CA,USA,33.82922,-116.50625,-7.0
PUB,Pueblo Memorial Airport,Pueblo,CO,USA,38.28909,-104.49657,-6.0
PVD,Theodore Francis Green State Airport,Providence,RI,USA,41.724,-71.42822,-4.0
PWM,Portland International Jetport,Portland,ME,USA,43.64617,-70.30875,-4.0
RAP,Rapid City Regional Airport,Rapid City,SD,USA,44.04532,-103.05737,-6.0
RDD,Redding Municipal Airport,Redding,CA,USA,40.50898,-122.2934,-7.0
RDM,Redmond Municipal Airport (Roberts Field),Redmond,OR,USA,44.25407,-121.14996,-7.0
RDU,Raleigh-Durham International Airport,Raleigh,NC,USA,35.87764,-78.78747,-4.0
RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,USA,45.63119,-89.46745,-5.0
RIC,Richmond International Airport,Richmond,VA,USA,37.50517,-77.31967,-4.0
RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY,USA,41.59422,-109.06519,-6.0
RNO,Reno/Tahoe International Airport,Reno,NV,USA,39.49858,-119.76806,-7.0
ROA,Roanoke Regional Airport (Woodrum Field),Roanoke,VA,USA,37.32547,-79.97543,-4.0
ROC,Greater Rochester International Airport,Rochester,NY,USA,43.11887,-77.67238,-4.0
ROW,Roswell International Air Center,Roswell,NM,USA,33.30156,-104.53056,-6.0
RST,Rochester International Airport,Rochester,MN,USA,43.90883,-92.49799,-5.0
RSW,Southwest Florida International Airport,Ft. Myers,FL,USA,26.53617,-81.75517,-4.0
SAF,Santa Fe Municipal Airport,Santa Fe,NM,USA,35.61678,-106.08814,-6.0
SAN,San Diego International Airport (Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966,-7.0
SAT,San Antonio International Airport,San Antonio,TX,USA,29.53369,-98.46978,-5.0
SAV,Savannah/Hilton Head International Airport,Savannah,GA,USA,32.12758,-81.20214,-4.0
SBA,Santa Barbara Municipal Airport (Santa Barbara Airport),Santa Barbara,CA,USA,34.42621,-119.84037,-7.0
SBN,South Bend International Airport (South Bend Regional),South Bend,IN,USA,41.70895,-86.31847,-4.0
SBP,San Luis Obispo County Regional Airport (McChesney Field),San Luis Obispo,CA,USA,35.23706,-120.64239,-7.0
SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK,USA,70.19476,-148.46516,-8.0
SCE,University Park Airport,State College,PA,USA,40.85121,-77.8463,-4.0
SDF,Louisville International Airport (Standiford Field),Louisville,KY,USA,38.17439,-85.736,-4.0
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931,-7.0
